"id","word","trans_word","type","createdAt","updatedAt"
1209,dụng cụ,tool,translate,2021-05-29 03:50:30.975 +0700,2021-05-29 03:50:30.975 +0700
1210,miếng dán thấm qua da,transdermal patch,translate,2021-05-29 03:51:59.604 +0700,2021-05-29 03:51:59.604 +0700
1211,bột pha dung dịch tiêm dưới da,powder for solution for subcutaneous injection,translate,2021-05-29 03:52:05.491 +0700,2021-05-29 03:52:05.491 +0700
1212,powder for solution for injection injection solution for injection for solution powder powder for solution solution powder for solution for injection injection solution for injection for solution powder powder for solution solution,powder for solution for injection injection solution for injection for solution powder powder for solution solution powder for solution for injection injection solution for injection for solution powder powder for solution solution,translate,2021-05-29 03:52:23.841 +0700,2021-05-29 03:52:23.841 +0700
1213,bột pha dung dịch thuốc nhỏ tai,powder for solution of ear drops,translate,2021-05-29 03:53:38.556 +0700,2021-05-29 03:53:38.556 +0700
1214,khí dung xịt mũi,aerosol nasal spray,translate,2021-05-29 03:56:50.458 +0700,2021-05-29 03:56:50.458 +0700
1215,dung dịch tiêm trong da tiêm dưới da tiêm tĩnh mạch trong phương pháp gây,solution for intradermal injection under the skin intravenously in the induction method,translate,2021-05-29 03:58:32.292 +0700,2021-05-29 03:58:32.292 +0700
1216,bơm tiêm đóng sẵn thuốc,prefilled syringe,translate,2021-05-29 04:02:10.381 +0700,2021-05-29 04:02:10.381 +0700
1217,dầu gội đầu,shampoo,translate,2021-05-29 04:02:24.788 +0700,2021-05-29 04:02:24.788 +0700
1218,thuốc bột pha hỗn dịch tiêm,powder medicine for suspension for injection,translate,2021-05-29 04:02:44.132 +0700,2021-05-29 04:02:44.132 +0700
1219,bột pha dung dịch đậm đặc để pha thuốc tiêm truyền,powder for concentrated solution for the preparation of infusion drugs,translate,2021-05-29 04:02:58.037 +0700,2021-05-29 04:02:58.037 +0700
1220,ống hít chứa dung dịch dầu lỏng,inhaler containing liquid oil solution,translate,2021-05-29 04:03:16.868 +0700,2021-05-29 04:03:16.868 +0700
1221,solution for haemofiltration solution solution for haemofiltration solution,solution for haemofiltration solution solution for haemofiltration solution,translate,2021-05-29 04:05:00.177 +0700,2021-05-29 04:05:00.177 +0700
1222,bột để pha dung dịch tiêm tiêm truyền,powder for solution for injection,translate,2021-05-29 04:05:30.596 +0700,2021-05-29 04:05:30.596 +0700
1223,thuốc phun mù xịt mũi,nasal spray mist,translate,2021-05-29 04:07:12.241 +0700,2021-05-29 04:07:12.241 +0700
1224,dầu bôi ngoài da,skin oil,translate,2021-05-29 04:07:18.011 +0700,2021-05-29 04:07:18.011 +0700
1225,cao bôi ngoài da,topical ointment,translate,2021-05-29 04:07:48.686 +0700,2021-05-29 04:07:48.686 +0700
1226,bột đông khô để pha dung dịch truyền tĩnh mạch,lyophilized powder for solution for intravenous infusion,translate,2021-05-29 04:08:41.137 +0700,2021-05-29 04:08:41.137 +0700
1227,dung dịch dùng ngoài da dạng xịt,spray for external use,translate,2021-05-29 04:09:15.569 +0700,2021-05-29 04:09:15.569 +0700
571,thùng,can,translate,2021-05-17 15:17:08.726 +0700,2021-05-17 15:17:08.726 +0700
592,nhũ tương uống,oral emulsion,translate,2021-05-20 08:36:09.013 +0700,2021-05-20 08:36:09.013 +0700
764,thuốc bột đông khô pha tiêm phun khí dung,"lyophilized powder for injection, aerosol spray",translate,2021-05-20 10:05:14.203 +0700,2021-05-20 10:05:14.203 +0700
1228,nhũ dịch tiêm tĩnh mạch,intravenous emulsion,translate,2021-05-29 04:11:01.216 +0700,2021-05-29 04:11:01.216 +0700
5895,tế tân,new year's eve,translate,2021-10-18 16:00:19.215 +0700,2021-10-18 16:00:19.215 +0700
6142,bồ công anh 10g,dandelion 10g,translate,2021-10-18 16:01:49.256 +0700,2021-10-18 16:01:49.256 +0700
6145,xuyên khung 200mg,through frame 200mg,translate,2021-10-18 16:01:49.359 +0700,2021-10-18 16:01:49.359 +0700
6165,sài hồ 400mg,sai ho 400mg,translate,2021-10-18 16:01:55.441 +0700,2021-10-18 16:01:55.441 +0700
6235,thymol 250mg,thymol 250mg,translate,2021-10-18 16:02:35.509 +0700,2021-10-18 16:02:35.509 +0700
6236,xuyên khung 640mg,trans-frame 640mg,translate,2021-10-18 16:02:35.566 +0700,2021-10-18 16:02:35.566 +0700
6239,"960mg 640mg 960mg 640mg 320mg","960mg 640mg 960mg 640mg 320mg",translate,2021-10-18 16:02:35.652 +0700,2021-10-18 16:02:35.652 +0700
6245,"500mg 25mg 15mg","500mg 25mg 15mg",translate,2021-10-18 16:02:38.403 +0700,2021-10-18 16:02:38.403 +0700
6249,tang diệp 91mg,"91mg",translate,2021-10-18 16:02:38.577 +0700,2021-10-18 16:02:38.577 +0700
6434,thuốc hít định liều dạng phun mù,metered dose inhaler nebulizer,translate,2021-10-20 11:05:51.496 +0700,2021-10-20 11:05:51.496 +0700
6437,chai lọ,bottle,translate,2021-10-20 11:05:57.335 +0700,2021-10-20 11:05:57.335 +0700
6438,bột đông khô pha tiêm truyền tĩnh mạch,lyophilized powder for intravenous infusion,translate,2021-10-20 11:06:00.001 +0700,2021-10-20 11:06:00.001 +0700
6678,dung dịch tiêm hoặc tiêm truyền hộp 10 chai chai 50ml tiêm truyền,solution for injection or infusion box of 10 bottles of 50ml infusion,translate,2021-10-20 11:25:00.999 +0700,2021-10-20 11:25:00.999 +0700
6790,viên nén bao phim hộp 1 vỉ x 10 viên uống,film coated tablets box 1 blister x 10 oral tablets,translate,2021-10-20 11:27:06.405 +0700,2021-10-20 11:27:06.405 +0700
6849,dung dịch tiên hộp 6 ống x 2ml tiêm,solution box of 6 ampoules x 2ml for injection,translate,2021-10-20 11:28:01.212 +0700,2021-10-20 11:28:01.212 +0700
6966,viên nén giải phóng kéo dài hộp 3 vỉ x 10 viên uống,extended release tablets box of 3 blisters x 10 oral tablets,translate,2021-10-20 11:29:30.652 +0700,2021-10-20 11:29:30.652 +0700
6994,viên nén hộp 01 túi nhôm 02 túi nhôm 03 túi nhôm túi 03 vỉ vỉ 10 viên uống,tablets box 01 aluminum bag 02 aluminum bags 03 aluminum bags 03 blisters 10 tablets,translate,2021-10-20 11:29:50.125 +0700,2021-10-20 11:29:50.125 +0700
7006,viên nén hộp 3 vỉ 10 vỉ vỉ 10 viên uống,tablets box of 3 blisters 10 blisters 10 tablets orally,translate,2021-10-20 11:29:55.845 +0700,2021-10-20 11:29:55.845 +0700
7044,gel thụt trực tràng hộp 6 tuýp x 9g thụt trực tràng,rectal enemas gel box of 6 tubes x 9g of rectal enema,translate,2021-10-20 11:30:13.927 +0700,2021-10-20 11:30:13.927 +0700
7052,viên nang mềm hộp 10 vỉ x 10 viên hộp 6 vỉ x 10 viên hộp 3 vỉ x 10 viên uống,soft capsule box of 10 blisters x 10 tablets box of 6 blisters x 10 tablets box of 3 blisters x 10 oral tablets,translate,2021-10-20 11:30:21.789 +0700,2021-10-20 11:30:21.789 +0700
7665,dung dịch/hỗn dịch/ nhũ dịch uống,oral solution/suspension/emulsion,translate,2021-10-20 11:41:19.353 +0700,2021-10-20 11:41:19.353 +0700
7666,chai tiêm truyền,infusion bottle,translate,2021-10-20 11:41:24.516 +0700,2021-10-20 11:41:24.516 +0700
7681,túi/chai/lọ,bag/bottle/jar,translate,2021-10-20 11:43:00.407 +0700,2021-10-20 11:43:00.407 +0700
7829,viêng nang cứng,hard capsule,translate,2021-10-20 12:08:24.034 +0700,2021-10-20 12:08:24.034 +0700
7835,thuốc tiềm truyền,potent drugs,translate,2021-10-20 12:09:05.759 +0700,2021-10-20 12:09:05.759 +0700
7836,chai/ túi,bottle/bag,translate,2021-10-20 12:09:05.902 +0700,2021-10-20 12:09:05.902 +0700
7961,bơm tiêm/liều,syringe/dose,translate,2021-10-20 12:37:24.000 +0700,2021-10-20 12:37:24.000 +0700
8080,dung dịch/bột pha tiêm,solution/powder for injection,translate,2021-10-20 13:10:42.816 +0700,2021-10-20 13:10:42.816 +0700
8095,dung dịch thẩm phânphúc mạc,peritoneal dialysis solution,translate,2021-10-20 13:14:37.333 +0700,2021-10-20 13:14:37.333 +0700
8207,viên nén phân tán,dispersible tablets,translate,2021-10-20 13:46:28.943 +0700,2021-10-20 13:46:28.943 +0700
8362,hộp 2 vỉ x 30 viên viên nén bao phim giải phóng có biến đổi uống,box of 2 blisters x 30 oral modified release film coated tablets,translate,2021-10-20 14:07:44.634 +0700,2021-10-20 14:07:44.634 +0700
8468,túi/chai/lọ/ống,bag/bottle/jar/tube,translate,2021-10-20 14:39:35.927 +0700,2021-10-20 14:39:35.927 +0700
8605,hộp 1 lọ x 30 viên viên nén uống,box of 1 bottle x 30 oral tablets,translate,2021-10-20 15:08:55.909 +0700,2021-10-20 15:08:55.909 +0700
8750,bột và dung môi để pha tiêm truyền,powder and solvent for infusion,translate,2021-10-20 15:27:13.618 +0700,2021-10-20 15:27:13.618 +0700
8875,hộp 30 viên viên nén uống,box of 30 oral tablets,translate,2021-10-20 15:57:24.726 +0700,2021-10-20 15:57:24.726 +0700
8915,chai lọ ống tuýp,bottles and tubes,translate,2021-10-20 15:59:33.579 +0700,2021-10-20 15:59:33.579 +0700
9010,bình chì chứa lọ thủy tinh chứa viên nang cứng uống,lead flask containing glass vial containing hard capsules for oral administration,translate,2021-10-20 17:43:05.610 +0700,2021-10-20 17:43:05.610 +0700
9021,thuốc cốm pha uống gói,granules drink pack,translate,2021-10-20 17:44:34.536 +0700,2021-10-20 17:44:34.536 +0700
572,bánh,bar,translate,2021-05-17 15:23:46.262 +0700,2021-05-17 15:23:46.262 +0700
593,túi,handbag,translate,2021-05-20 08:36:21.629 +0700,2021-05-20 08:36:21.629 +0700
765,viên nang cứng (trắng hồng),hard capsule (pinkish white),translate,2021-05-20 10:08:43.475 +0700,2021-05-20 10:08:43.475 +0700
1229,sirô uống,drinking syrup,translate,2021-05-29 04:12:12.466 +0700,2021-05-29 04:12:12.466 +0700
1230,bột pha dung dịch tiêm hoặc tiêm truyền,powder for solution for injection or infusion,translate,2021-05-29 04:12:41.171 +0700,2021-05-29 04:12:41.171 +0700
1231,ống hít định liều,metered dose inhaler,translate,2021-05-29 04:16:24.167 +0700,2021-05-29 04:16:24.167 +0700
1232,bột đông khô và dung môi pha dung dịch tiêm,lyophilized powder and solvent for solution for injection,translate,2021-05-29 04:33:32.660 +0700,2021-05-29 04:33:32.660 +0700
1233,gel bôi âm đạo,vaginal gel,translate,2021-05-29 04:42:26.187 +0700,2021-05-29 04:42:26.187 +0700
1234,hộp 1 lọ lọ hộp 1 lọ lọ,box of 1 vial box of 1 vial,translate,2021-05-29 04:45:41.234 +0700,2021-05-29 04:45:41.234 +0700
1235,dung dịch tiêm/dung dịch đậm đặc để pha dung dịch tiêm truyền,solution for injection/concentration for solution for infusion,translate,2021-05-29 04:47:11.486 +0700,2021-05-29 04:47:11.486 +0700
1236,hộp 1 chai 60 ml,box of 1 bottle of 60 ml,translate,2021-05-29 04:48:26.821 +0700,2021-05-29 04:48:26.821 +0700
1237,dung dịch tiêm/ truyền tĩnh mạch,solution for injection/intravenous infusion,translate,2021-05-29 04:48:29.569 +0700,2021-05-29 04:48:29.569 +0700
1238,bột đông khô để pha dịch tiêm truyền,lyophilized powder for infusion,translate,2021-05-29 04:48:33.542 +0700,2021-05-29 04:48:33.542 +0700
1239,viên viên sủi viên viên viên sủi viên,effervescent tablets effervescent tablets effervescent tablets,translate,2021-05-29 04:49:33.891 +0700,2021-05-29 04:49:33.891 +0700
1240,gargle gargle,gargle gargle,translate,2021-05-29 04:50:02.852 +0700,2021-05-29 04:50:02.852 +0700
1241,inj powder powder inj,inj powder powder inj,translate,2021-05-29 05:02:03.233 +0700,2021-05-29 05:02:03.233 +0700
1242,kem bôi kem bôi da kem tuýp kem bôi da kem kem kem bôi kem bôi da kem tuýp kem bôi da kem kem,lotion cream lotion cream tube skin cream cream cream lotion cream lotion cream tube lotion cream cream,translate,2021-05-29 05:04:19.070 +0700,2021-05-29 05:04:19.070 +0700
1243,hỗn dịch hỗn dịch uống hỗn dịch uống hỗn dịch hỗn dịch uống hỗn dịch uống,suspension oral suspension oral suspension oral suspension oral suspension oral suspension,translate,2021-05-29 05:07:18.929 +0700,2021-05-29 05:07:18.929 +0700
1244,lozenge lozenge,lozenge lozenge,translate,2021-05-29 05:10:14.322 +0700,2021-05-29 05:10:14.322 +0700
1245,nasal spray spray nasal spray spray,nasal spray spray nasal spray spray,translate,2021-05-29 05:12:45.904 +0700,2021-05-29 05:12:45.904 +0700
1246,viên gói viên viên gói viên,tablet pack tablet pack tablet,translate,2021-05-29 05:17:56.906 +0700,2021-05-29 05:17:56.906 +0700
1247,effervescent tablet tablet effervescent tablet tablet,effervescent tablet tablet effervescent tablet tablet,translate,2021-05-29 05:21:18.377 +0700,2021-05-29 05:21:18.377 +0700
1248,eye drops eye drops,eye drops eye drops,translate,2021-05-29 05:36:47.733 +0700,2021-05-29 05:36:47.733 +0700
1249,soln soln,soln soln,translate,2021-05-29 05:37:04.285 +0700,2021-05-29 05:37:04.285 +0700
1250,viên nang cứng,hard capsules,translate,2021-05-29 05:52:46.822 +0700,2021-05-29 05:52:46.822 +0700
1251,bột đông khô (hib) và hỗn dịch (dtpa ipv) để pha hỗn dịch tiêm,lyophilized powder (hib) and suspension (dtpa ipv) for suspension for injection,translate,2021-05-29 05:54:35.043 +0700,2021-05-29 05:54:35.043 +0700
577,chai,bottle,translate,2021-05-18 15:21:50.505 +0700,2021-05-18 15:21:50.505 +0700
1252,hộp 1 lọ bột đông khô + 1 ống dung môi chứa 5ml nacl 0 9%,box of 1 vial of lyophilized powder + 1 ampoule of solvent containing 5ml nacl 0 9%,translate,2021-07-14 22:06:23.551 +0700,2021-07-14 22:06:23.551 +0700
1253,xi rô,syrup,translate,2021-07-14 22:07:43.081 +0700,2021-07-14 22:07:43.081 +0700
1254,"20g","20g",translate,2021-10-18 10:56:34.780 +0700,2021-10-18 10:56:34.780 +0700
1264,vn 12027 11,vn 12027 11,translate,2021-10-18 10:56:56.383 +0700,2021-10-18 10:56:56.383 +0700
1296,potassium chloride,potassium chloride,translate,2021-10-18 10:57:16.432 +0700,2021-10-18 10:57:16.432 +0700
1299,vn 17524 13,vn 17524 13,translate,2021-10-18 10:57:16.500 +0700,2021-10-18 10:57:16.500 +0700
1307,vn 4095 07,vn 4095 07,translate,2021-10-18 10:57:24.520 +0700,2021-10-18 10:57:24.520 +0700
1342,hộp x 1 ống,box x 1 tube,translate,2021-10-18 10:57:47.535 +0700,2021-10-18 10:57:47.535 +0700
1404,vn3 242 19,vn3 242 19,translate,2021-10-18 10:58:30.532 +0700,2021-10-18 10:58:30.532 +0700
1406,lọ 100 viên,"100 tablets bottle",translate,2021-10-18 10:58:30.682 +0700,2021-10-18 10:58:30.682 +0700
1468,sodium 140mmo l/l,sodium 140mmo l/l,translate,2021-10-18 10:59:27.029 +0700,2021-10-18 10:59:27.029 +0700
1490,"50mg 250mg 5000mcg","50mg 250mg 5000mcg",translate,2021-10-18 10:59:48.359 +0700,2021-10-18 10:59:48.359 +0700
1494,selenium sulfid 1500mg,selenium sulfid 1500mg,translate,2021-10-18 10:59:52.364 +0700,2021-10-18 10:59:52.364 +0700
1500,hộp 1 dụng cụ hít accuhaler 60 liều,box of 1 inhaler accuhaler 60 doses,translate,2021-10-18 10:59:56.759 +0700,2021-10-18 10:59:56.759 +0700
1501,vn 2316 06,vn 2316 06,translate,2021-10-18 11:00:00.124 +0700,2021-10-18 11:00:00.124 +0700
1503,vn2 644 17,vn2 644 17,translate,2021-10-18 11:00:00.145 +0700,2021-10-18 11:00:00.145 +0700
1505,hộp 2 vỉ x 5 viên,box of 2 blisters x 5 tablets,translate,2021-10-18 11:00:00.305 +0700,2021-10-18 11:00:00.305 +0700
1507,vn 19142 15,vn 19142 15,translate,2021-10-18 11:00:04.049 +0700,2021-10-18 11:00:04.049 +0700
1511,hộp 4 vỉ x 7 viên,box of 4 blisters x 7 tablets,translate,2021-10-18 11:00:23.465 +0700,2021-10-18 11:00:23.465 +0700
1514,thùng 4 túi 3 ngăn 1440ml,carton of 4 bags 3 compartments 1440ml,translate,2021-10-18 11:00:23.572 +0700,2021-10-18 11:00:23.572 +0700
1516,vn 21282 18,vn 21282 18,translate,2021-10-18 11:00:31.619 +0700,2021-10-18 11:00:31.619 +0700
1517,hộp 30 gói,box of 30 packs,translate,2021-10-18 11:00:31.713 +0700,2021-10-18 11:00:31.713 +0700
1519,vn 7943 09,vn 7943 09,translate,2021-10-18 11:00:35.287 +0700,2021-10-18 11:00:35.287 +0700
1520,hộp x 1 vỉ x 10 viên,box x 1 blister x 10 tablets,translate,2021-10-18 11:00:35.293 +0700,2021-10-18 11:00:35.293 +0700
1521,"20mg 500mg 500mg","20mg 500mg 500mg",translate,2021-10-18 11:00:38.640 +0700,2021-10-18 11:00:38.640 +0700
1522,vn 20517 17,vn 20517 17,translate,2021-10-18 11:00:38.652 +0700,2021-10-18 11:00:38.652 +0700
1537,vn 14183 11,vn 14183 11,translate,2021-10-18 11:00:49.155 +0700,2021-10-18 11:00:49.155 +0700
1541,chai 500ml,chai 500ml,translate,2021-10-18 11:00:49.209 +0700,2021-10-18 11:00:49.209 +0700
1543,vn 19348 15,vn 19348 15,translate,2021-10-18 11:00:53.300 +0700,2021-10-18 11:00:53.300 +0700
1544,lozenge,lozenge,translate,2021-10-18 11:00:57.112 +0700,2021-10-18 11:00:57.112 +0700
1545,vn2 594 17,vn2 594 17,translate,2021-10-18 11:00:57.167 +0700,2021-10-18 11:00:57.167 +0700
1549,hộp 1 lọ 120 viên,box of 1 bottle of 120 tablets,translate,2021-10-18 11:00:57.282 +0700,2021-10-18 11:00:57.282 +0700
1550,hộp 1 lọ 2 5ml,box of 1 bottle 2 5ml,translate,2021-10-18 11:00:57.283 +0700,2021-10-18 11:00:57.283 +0700
1552,"5ống x 10ml","5ống x 10ml",translate,2021-10-18 11:01:01.301 +0700,2021-10-18 11:01:01.301 +0700
1554,hộp x 100 gói x 2 viên,box x 100 packs x 2 tablets,translate,2021-10-18 11:01:01.355 +0700,2021-10-18 11:01:01.355 +0700
1555,#n/a,#n/a,translate,2021-10-18 11:01:06.959 +0700,2021-10-18 11:01:06.959 +0700
1559,"1 96g/1 85g/0 43g","1 96g/1 85g/0 43g",translate,2021-10-18 11:01:11.460 +0700,2021-10-18 11:01:11.460 +0700
1563,"245mg 300mg 600mg","245mg 300mg 600mg",translate,2021-10-18 11:01:15.667 +0700,2021-10-18 11:01:15.667 +0700
1564,hộp 20 ống x 10ml,box of 20 tubes x 10ml,translate,2021-10-18 11:01:15.720 +0700,2021-10-18 11:01:15.720 +0700
1567,vn 20510 17,vn 20510 17,translate,2021-10-18 11:01:19.247 +0700,2021-10-18 11:01:19.247 +0700
1569,vn 1820 06,vn 1820 06,translate,2021-10-18 11:01:19.303 +0700,2021-10-18 11:01:19.303 +0700
1570,vn 8611 04,vn 8611 04,translate,2021-10-18 11:01:19.306 +0700,2021-10-18 11:01:19.306 +0700
1573,"50mg 300mg 300mg","50mg 300mg 300mg",translate,2021-10-18 11:01:22.931 +0700,2021-10-18 11:01:22.931 +0700
1575,hộp x 4 viên,box x 4 tablets,translate,2021-10-18 11:01:22.981 +0700,2021-10-18 11:01:22.981 +0700
1578,vn 5603 08,vn 5603 08,translate,2021-10-18 11:01:27.169 +0700,2021-10-18 11:01:27.169 +0700
1579,vn2 561 17,vn2 561 17,translate,2021-10-18 11:01:27.210 +0700,2021-10-18 11:01:27.210 +0700
1580,vn 18422 14,vn 18422 14,translate,2021-10-18 11:01:27.239 +0700,2021-10-18 11:01:27.239 +0700
573,gam,gram,translate,2021-05-17 16:07:39.811 +0700,2021-05-17 16:07:39.811 +0700
594,viên nén không bao đặt âm đạo,vaginal uncoated tablets,translate,2021-05-20 08:36:39.537 +0700,2021-05-20 08:36:39.537 +0700
607,lọ lọ,go,translate,2021-05-20 08:39:31.292 +0700,2021-05-20 08:39:31.292 +0700
766,thuốc nước uống,water pills,translate,2021-05-20 10:09:45.258 +0700,2021-05-20 10:09:45.258 +0700
1255,tabs,tabs,translate,2021-10-18 10:56:34.781 +0700,2021-10-18 10:56:34.781 +0700
1257,hộp x 2 vỉ x 9 viên,box x 2 blisters x 9 tablets,translate,2021-10-18 10:56:35.120 +0700,2021-10-18 10:56:35.120 +0700
1265,hộp 3 vỉ x 10 viên,box of 3 blisters x 10 tablets,translate,2021-10-18 10:56:56.411 +0700,2021-10-18 10:56:56.411 +0700
1302,inj,inj,translate,2021-10-18 10:57:20.969 +0700,2021-10-18 10:57:20.969 +0700
1304,hộp 10 lä 5ml,box of 10 5ml,translate,2021-10-18 10:57:21.247 +0700,2021-10-18 10:57:21.247 +0700
1407,hộp 1 lọ x 28 viên,box of 1 bottle x 28 tablets,translate,2021-10-18 10:58:30.684 +0700,2021-10-18 10:58:30.684 +0700
1469,vn 21629 18,vn 21629 18,translate,2021-10-18 10:59:27.027 +0700,2021-10-18 10:59:27.027 +0700
1492,vn 21973 19,vn 21973 19,translate,2021-10-18 10:59:48.386 +0700,2021-10-18 10:59:48.386 +0700
1493,hộp 2 hoặc 6 vỉ x 30 viên,box of 2 or 6 blisters x 30 tablets,translate,2021-10-18 10:59:48.486 +0700,2021-10-18 10:59:48.486 +0700
1495,hộp 10 lọ 5ml,box of 10 bottles of 5ml,translate,2021-10-18 10:59:52.462 +0700,2021-10-18 10:59:52.462 +0700
1502,vn 16977 13,vn 16977 13,translate,2021-10-18 11:00:00.127 +0700,2021-10-18 11:00:00.127 +0700
1504,hộp 1 lọ x 30 viên,box of 1 bottle x 30 tablets,translate,2021-10-18 11:00:00.274 +0700,2021-10-18 11:00:00.274 +0700
1512,vn 12796 11,vn 12796 11,translate,2021-10-18 11:00:23.465 +0700,2021-10-18 11:00:23.465 +0700
1515,vn 17102 13,vn 17102 13,translate,2021-10-18 11:00:31.568 +0700,2021-10-18 11:00:31.568 +0700
1524,vn 21286 18,vn 21286 18,translate,2021-10-18 11:00:38.714 +0700,2021-10-18 11:00:38.714 +0700
1525,bình 120 liều xịt,"120 dose spray bottle",translate,2021-10-18 11:00:38.812 +0700,2021-10-18 11:00:38.812 +0700
1527,"14mg 300mg","14mg 300mg",translate,2021-10-18 11:00:41.962 +0700,2021-10-18 11:00:41.962 +0700
1538,vn 14688 12,vn 14688 12,translate,2021-10-18 11:00:49.161 +0700,2021-10-18 11:00:49.161 +0700
1539,vn 5028 07,vn 5028 07,translate,2021-10-18 11:00:49.179 +0700,2021-10-18 11:00:49.179 +0700
1542,chai 250ml,chai 250ml,translate,2021-10-18 11:00:49.229 +0700,2021-10-18 11:00:49.229 +0700
1551,vn 19285 15,vn 19285 15,translate,2021-10-18 11:01:01.250 +0700,2021-10-18 11:01:01.250 +0700
1556,vd 12622 10,vd 12622 10,translate,2021-10-18 11:01:06.960 +0700,2021-10-18 11:01:06.960 +0700
1557,hộp x 2vỉ x 15viên,box x 2 blisters x 15 tablets,translate,2021-10-18 11:01:07.082 +0700,2021-10-18 11:01:07.082 +0700
1560,vn 21907 19,vn 21907 19,translate,2021-10-18 11:01:11.469 +0700,2021-10-18 11:01:11.469 +0700
1568,vn2 508 16,vn2 508 16,translate,2021-10-18 11:01:19.282 +0700,2021-10-18 11:01:19.282 +0700
1571,vn 16259 13,vn 16259 13,translate,2021-10-18 11:01:19.334 +0700,2021-10-18 11:01:19.334 +0700
1572,hộp 30 viên,box of 30 tablets,translate,2021-10-18 11:01:19.453 +0700,2021-10-18 11:01:19.453 +0700
1581,hộp 1 bình 152g,box of 1 bottle 152g,translate,2021-10-18 11:01:27.280 +0700,2021-10-18 11:01:27.280 +0700
1584,vn 3124 07,vn 3124 07,translate,2021-10-18 11:01:30.895 +0700,2021-10-18 11:01:30.895 +0700
1599,lọ nhựa chứa 2 5ml dung dịch,plastic bottle containing 2 5ml solution,translate,2021-10-18 11:01:43.405 +0700,2021-10-18 11:01:43.405 +0700
1600,vn 20627 17,vn 20627 17,translate,2021-10-18 11:01:43.411 +0700,2021-10-18 11:01:43.411 +0700
1607,elixir,elixir,translate,2021-10-18 11:01:54.705 +0700,2021-10-18 11:01:54.705 +0700
1615,hộp 1 vỉ x 5 viên,box of 1 blister x 5 tablets,translate,2021-10-18 11:02:00.978 +0700,2021-10-18 11:02:00.978 +0700
1620,gargle,gargle,translate,2021-10-18 11:02:08.975 +0700,2021-10-18 11:02:08.975 +0700
1634,vn3 248 19,vn3 248 19,translate,2021-10-18 11:02:24.639 +0700,2021-10-18 11:02:24.639 +0700
1636,hộp 50lọ,box of 50 bottles,translate,2021-10-18 11:02:24.714 +0700,2021-10-18 11:02:24.714 +0700
1638,qlsp 1114 18,qlsp 1114 18,translate,2021-10-18 11:02:28.767 +0700,2021-10-18 11:02:28.767 +0700
1639,hộp x 1lọ,box x 1 vial,translate,2021-10-18 11:02:28.851 +0700,2021-10-18 11:02:28.851 +0700
1655,"2 vỉ x 14 viên","2 blisters x 14 tablets",translate,2021-10-18 11:02:39.450 +0700,2021-10-18 11:02:39.450 +0700
1656,hộp 1 vỉ 2 vỉ x 14 viên,box of 1 blister 2 blisters x 14 tablets,translate,2021-10-18 11:02:39.505 +0700,2021-10-18 11:02:39.505 +0700
1659,vn 17475 13,vn 17475 13,translate,2021-10-18 11:02:46.808 +0700,2021-10-18 11:02:46.808 +0700
1660,vn 10177 05,vn 10177 05,translate,2021-10-18 11:02:46.809 +0700,2021-10-18 11:02:46.809 +0700
5896,quế nhục 500mg,cinnamon humiliation 500mg,translate,2021-10-18 16:00:21.184 +0700,2021-10-18 16:00:21.184 +0700
5898,kỷ tử 200mg,goji berries 200mg,translate,2021-10-18 16:00:21.267 +0700,2021-10-18 16:00:21.267 +0700
5899,uy linh tiên 500mg,mighty spirit fairy 500mg,translate,2021-10-18 16:00:21.338 +0700,2021-10-18 16:00:21.338 +0700
5986,oteracil kali 24 5mg,oteracil kali 24 5mg,translate,2021-10-18 16:00:45.568 +0700,2021-10-18 16:00:45.568 +0700
5990,"4000","4000",translate,2021-10-18 16:00:48.642 +0700,2021-10-18 16:00:48.642 +0700
6063,thổ phục linh 30 g,earthenware 30 g,translate,2021-10-18 16:01:15.314 +0700,2021-10-18 16:01:15.314 +0700
6251,mẫu đơn bì 255mg,package form 255mg,translate,2021-10-18 16:02:38.633 +0700,2021-10-18 16:02:38.633 +0700
6282,thục địa 600mg,field 600mg,translate,2021-10-18 16:02:48.012 +0700,2021-10-18 16:02:48.012 +0700
6435,dung dịch tiêm tĩnh mạch chậm hoặc truyền tĩnh mạch,solution for slow intravenous injection or intravenous infusion,translate,2021-10-20 11:05:55.516 +0700,2021-10-20 11:05:55.516 +0700
6679,viên hoàn cứng bao đường hộp 1 lọ 200 viên uống,sugar coated hard capsules 1 bottle of 200 pills,translate,2021-10-20 11:25:05.214 +0700,2021-10-20 11:25:05.214 +0700
6716,siro hộp 1 chai chai 125ml uống,syrup box 1 bottle 125ml drink,translate,2021-10-20 11:25:57.623 +0700,2021-10-20 11:25:57.623 +0700
6719,hộp 30 ống x 10ml cao lỏng uống,box of 30 tubes x 10ml high liquid drink,translate,2021-10-20 11:26:01.555 +0700,2021-10-20 11:26:01.555 +0700
6770,hộp 20 gói 30 gói 50 gói x 5ml cao lỏng uống,box of 20 sachets of 30 sachets of 50 sachets x 5ml of oral liquid,translate,2021-10-20 11:26:47.481 +0700,2021-10-20 11:26:47.481 +0700
6787,cao lỏng hộp 1 lọ 100ml uống,high liquid box 1 bottle 100ml drink,translate,2021-10-20 11:27:01.775 +0700,2021-10-20 11:27:01.775 +0700
6788,bột pha dung dịch uống hộp 20 gói uống,"powder for oral solution, box of 20 oral sachets",translate,2021-10-20 11:27:03.937 +0700,2021-10-20 11:27:03.937 +0700
